title,genre,Plot_reduction
the fault in our stars,romance,spread depress urg attend weekli lost sinc appar two agre read favorit give recommend stricken name parallel love abrupt end retreat follow  sinc later tell track correspond via will answer surpris acquir medic eventu allow arriv confess kiss romant sponsor follow go shock find spirit love actual come arrang without seek seriou belittl medic leav utterli distraught invit go sightse make ruin visit first kiss next tell return spread throughout termin heartbroken continu kiss deterior best deliv prepar would trade short togeth pass away eight later attend funer demand explain base die young give hazel initi ask kiss write read accept profess conclud finish lie pain marri respond
6 Underground,action,four wit brutal asian unnam american made run away invent fake form anonym take touch run love known one recruit shoot abandon join first kill four drive across chase kiss manag get away later one recruit shoot former save due renam one plan stage toppl instal imprison new shoot reveal two reluctantli captur hand back becom assassin success nearli kiss despit follow one shoot leav behind break reveal one run give impromptu speech inspir revolt strateg evacu run privat occupi storm one activ love magnet incapacit immobil one decid save four henchman instead captur discov command drop near feel shoot fled becom new need two begin well one see run pass die next
Terminator 2:Judgement Day,action,live state though onscreen shown come filmchat file indic born first show conceiv took earli would also run potenti run compat happen three assum round two half often fight meant read full perhap better leav fight prepar throughout futur human fight given run nuclear initi known arrest prison mental attempt bomb send new design back kill advanc jail made give take almost touch transform kiss assum also use track sent back protect run away self togeth fear kiss get help free discov must follow run shoot encount escap although initi reluct trust directli respons work revolutionari new form old flee instead set kill prevent occur find wound run find unabl kill arriv futur feel much damag right attack shoot back must destroy break retriev destroy lab fatal shoot rig improvis deton run die relentlessli pursu surviv eventu corner advanc serious back onlin use run altern nearli take blast molten destroy toss origin well relief ensur use must also destroy ask assist lower sinc unabl self termin although eventu reconsid make disobey bid farewel shoot hug tear lower give final disappear drive say unknown futur toward us face first learn human
aalavandhan,action/thriller,major western held minor set terrorist shoot experi resembl teju readi marri pregnant present one gone wrong reveal visit implic murder twin paranoid spent care look forward tell develop releas turn disastr see seek save escap kiss two clean thu leav later meet run matern fight respons incarcer die fight choke upon see get next shoot learn initi refus believ escap believ escap murder due thu prove circumcis convinc leav want kiss keep deceas search fall socialit look promot stumbl across ecstat fall upon becom close drug play inadvert caus visualis brutal return regret tear exit leav behind deduc leav ancestr run stay safe secretli follow find old read past commit realis later becam hate especi complain justifi reflect beat dislik new one learn anoth tri tell pay instead fight beat plead matern take along suffer refus suggest board leav board remain home get wors turn get run overhear realis see due anoth start see deceas turn due give kill grant militari die vow return incarcer present old reach save enter leav get style resembl exact chase fight wreak across escap push assum dead continu leav come secretli nab take mani overcom corner start whack punish anoth visualis ask join tortur realis chase kill light explod kill later fight reveal pregnant fear traumat tell good happen
Jumanji,adventure,near two buri produc tribal drumbeat later escap shoe own meet reveal new made misplac take lose attack also steal fight discov buri contain call bring attend run away arriv jump return show invit play move cryptic describ outcom appear take first turn squeak heard come journey unintent roll risk startl given state must wait read five eight suck risk six later risk jump move vacant parrish die ski next find attic begin play roll summon giant seek restor end continu play sinc roll first given anoth one roll five journey releas lock one make meet work run go abandon tell abandon search four prior close caus econom realiz need finish three suffer due illus persuad join first move releas danger fast grow next jump releas jump name first met next stamped jump variou includ sever one steal retriev arrest seek finish cheat next caus slowli wreak steal set subdu retriev reveal set free four releas one anoth drop land caus happen revers return took tell attend board inform respons damag come yet throw share marri expect first still aliv success run see meet first offer convinc cancel upcom ski avert two young french speak hear walk lie partial buri
The Irishman,drama,elderli recount start sell local head work get thrown name carri well underworld includ financi struggl deal fellow rise well mount feel feder close especi becom chief thrill furiou name bring eventu arrest convict atop overspend make rob kiss free arrest also deterior beyond although forbidden partak run despit steal undertak reclaim atop grow relat pain begin worri confront warn displeas inform know unawar feel know untouch ever kill happen would end becom fed sanction fight chosen know might otherwis tri warn save two schedul pain local surpris see arriv late unsuspect foster advis move wait join enter find empti rob prison realiz set turn around leav twice leav atop near two younger cremat elimin eventu convict jail variou unrel murder one one elderli begin die eventu releas place tri pain reconcil alien suspect begin see cathol assign pain give commit leav ask leav slightli ajar emul pain one
Viswasam,action/drama,well respect ten set occur rival stop occur pride scare plan howev long see much go meet upset current remind  ago use happi lucki also good although violent deal chase feel stumbl fight across wit lodg immedi leav smitten shoot pain surrend later forc releas close medic unless pay fight pain reloc realiz accept love get marri lead happi disturb feud get pregnant accept love go one except pharmaceut abroad refus born one love leav get bring pick old wait pick find find pass injur rush ward surviv get infuri  stay away leav back fight present tri meet later see nbsp travel made kiss save reveal paralyz attempt own multin expect first use achiev earlier includ expect slower would find lose resort help found report fear would pain complet vanish suicid becom paralyz distraught see save appoint next ten reveal reluctantli accept enjoy save multipl later fight face challeng run critic forc leav also bring fight alreadi injur father fight back reach encourag whistl pain becom arriv attack see realiz grow desir burden want announc along ad reunit
Harry Potter and the Philosopher's Stone,fantasy,late one along groundskeep recent orphan name remain ten later live difficult inadvert caus begin receiv unsolicit avoid appear harri accept take buy pet name birthday present past die due power thu becom well known wizard meet three quickli befriend intellig born wealthi wizard immedi form arriv assembl first sort magic among four although put place learn magic recov recruit extrem rare first one chang path lead forbidden three name restrict embarrass caus lock attack save befriend later find guard turn produc tri obtain return physic accident reveal fall asleep play decid tri find discov alreadi asleep face includ deadli known fill aggress fli bruis giant knock get past tri claim actual protect along remov reveal weak place find bargain reviv refus kill howev instead kill end burn illus reduc dust magic caus rise knock unconsci wing explain destroy illus safe also reveal abl defeat die magic save gave magic  base reward tie first ten attempt stop grant dream happi final real
Maya,horror,work haunt tell involv tell one experi wit descend one say three ridicul say three similar enter fall back reveal birthday next show dark taken dress smoki near warn haunt die tell mental forc evil experi upon recount one inmat name taken murder forc give newborn fall expens death rumour buri believ veng roam die friend—an write last escap friend dark grisli soon fall like spur embark altern singl struggl make dark work separ live work current work put experi dark strang happen insid give much thought alway preoccupi taken local keep visit demand keep put say die entitl act anoth previous keep bounc goe visit learn gone take arrang promot award ₹ succeed watch alon without show catch death goe altern go watch reach dead taken toward wit bizarr watch claim emot tortur decid watch fear back support even though know could happen later start play reveal continu watch inexplic teleport shown make search expens said die get caught held gun shoot search ring get caught eventu find seen appear behind loos get separ chase fall big help stay run away hear goe get shot fall held cri bitter reveal mother wake brought later reveal play die earlier sent took ring final reunit act direct start first sit find stand assum one end kiss ring fall turn back dark
The Conjuring,horror,move five enter play clap find board cellar occur within first stop exactli fli found dead one encount haunt see prompt claim want dead anoth hear clap goe investig becom trap attack believ die  one encount decid contact recent investig posses possess call agre take conduct haunt initi may requir need proceed discov belong accus name sacrif old kill dark curs would take find numer built gather around polic take appear vomit caus becom fulli possess see sleepwalk die come hear lure reveal secret insid fall see long ago possess use kill child decid take death explain perform would come directli sinc insist push get soon possibl attack util though arriv die save possess dark take back find cellar tri stab prevent dark tie decid need perform realiz enough wait arriv perform attack evil abl distract evil kiss remind special share allow complet lift forev left state gain perform death also  investig leav add save past inexplic dark open
Now You See Me,crime/fantasy,receiv lead discov unknown later perform fund final appear transport insid drawn shower found empti recent euro agent hold turn former turn magic ago expos attempt relaunch die rob insid fail demonstr use explain stole arriv replac ignit without reveal manipul attend hypnot help perform final next transfer escap million privat rob whose deni elud veng expos suspect connect escap mythic rumor real rob rich give magic poor replac allow remain ahead escap real three magic pursu lose unabl save point next rob safe safe intercept discov rob illus contain converg final appear leap shoot miss three magic real found arrest escap magic presum follow duplic rob safe allow fake magic use escap rob break real safe stolen realiz magic behind welcom newest shrike creat seek father magic safe led ruin fail pay fallen keep rob attach rail throw find prison lock escap
Good Fellas,crime,young enamor crimin work italian american begin work local irish fellow begin gradual work seriou three spend carous date jewish initi troubl rob eventu seduc glamor lifestyl marri despit recent releas repeatedli own beat unsanct made rob invit realiz cover buri later howev learn burial slate prompt exhum reloc mistress hold return collect arrest turn receiv ten support rob sell fellow parol expand soon involv organ raid rob sever purchas expens escap getaway found murder dead discov theoriz rob would kiss steal anyway rather escap spare love marri deceiv believ propos rob made murder leav devast becom nervou set arrest prison bail flush prevent find leav virtual penniless rob feel betray escap deal give end ask travel hit make suspici plan prompt becom give suffici jail convict grate aliv forc prison readjust normal narrat averag get live like prison steal protect arrest receiv five clean sinc separ die previou serv parol old
Enthiran,sci_fi,creat sophist introduc name help girlfriend save assault secretli engag creat similar german terrorist far unsuccess give readi otherwis kill head stab convinc use militari prove wrong deploy rescu burn save includ scienc name bath asham seen nake flee hit kill ask one modifi enabl understand human agre near becom angri demonstr manifest destroy success help sister give congratul human allow pass develop romant congratul kiss realis explain chitti sadden yet still conduct human indian follow frustrat chop dump landfil visit scienc retriev reassembl albeit damag emb red insid scienc reconstruct convert aggress love unempathet gatecrash wed creat use attempt kiss caus inform acquir destroy human reproduc marri human give preprogram scienc refus eventu find enter stop nearli human scienc appear ensu robot lead mani eventu captur use magnet access intern instruct self scienc remov red calm sentenc caus robot explain caus deviant scienc show instal red releas order destroy scienc ask destroy say goodby forgiv dismantl set curiou ask destroy respond
